1,Ruxandra Fediuc,ruxandra.fediuc@gmail.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
2,James Doe,jdoe@hotmail.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
3,A,b@com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
4,One more,a@fdfsfd.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
5,Tralala,sdsds@ggg.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
6,exit,a@abc.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
6,Bubulina,hocus@pocus.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
7,Adeline Smith,adeline@yahoo.ca,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
8,Mama Mia,mama@mama.bau,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
9,Tata Mia,tata@tata.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
10,Bla Bla Sr.,blabla@hotmail.com,"[""mobile 123-456-6789"", ""home 123-456-1234""]"
11,Fry Me,fry@ads.com,"[""mobile 604-678-3456"", ""home 345-234-3456""]"
12,Barrack Obama,barrack.obama@us.gov,"[""home 123-000-0000""]"
13,One more contact,a@bcd.com,"[""home 332-444-5555""]"
